id,date,sentence,growth_sentiment_1,employment_sentimen_1,inflation_sentiment_1,Sandro,Ziwei
10836,2006/1/3,"Survey measures of individuals' expectations of future labor market conditions improved in November, largely reversing post-Katrina declines.",neutral,positive,neutral,,positive
10837,2006/2/21,"Although high profit margins could imply some existing pricing power, they might also provide a cushion to absorb some future cost increases.",neutral,neutral,positive,,positive
10838,2006/7/20,"Consumer price inflation remained elevated in April and May, reflecting sharp rises in energy prices and more rapid increases in core prices.",neutral,neutral,negative,,negative
10839,2006/10/11,Spending on cars and light trucks increased somewhat in July after a lackluster pace in the second quarter but apparently weakened in August.,negative,neutral,neutral,,negative
10840,2006/11/15,The Manager also discussed with the Committee the results of a recent review of the management of the domestic security holdings of the SOMA.,neutral,neutral,neutral,,neutral
10841,2007/10/9,"Higher imports of capital goods excluding aircraft, computers, and semiconductors and of oil also contributed to the overall gain in imports.",positive,neutral,neutral,,positive
10842,2007/10/9,"TIPS-based inflation compensation at the five-year horizon was about unchanged, while inflation compensation at longer horizons crept higher.",neutral,neutral,negative,,neutral
10843,2007/10/9,"Moreover, participants noted that many capital expenditures were internally financed, making them less sensitive to credit market conditions.",neutral,neutral,neutral,,negative
10844,2008/1/2,"Many readings from the business sector were also softer: Industrial production fell in October, as did orders and shipments of capital goods.",negative,neutral,neutral,,negative
10845,2008/1/2,"After showing some signs of improvement in late September and October, conditions in financial markets worsened over the intermeeting period.",negative,neutral,neutral,,negative
10846,2008/1/2,Debt in the domestic nonfinancial sector was estimated to be increasing somewhat more slowly in the fourth quarter than in the third quarter.,negative,neutral,neutral,,neutral
10847,2008/2/20,"The trade-weighted foreign exchange value of the dollar against major currencies declined slightly, on balance, over the intermeeting period.",neutral,neutral,negative,,negative
10848,2008/2/20,Participants discussed the possibility that these developments could lead to an excessive pull-back in credit availability and in investment.,negative,neutral,neutral,,negative
10849,2008/4/8,The Committee agreed on the need to act in a timely manner to promote its dual objectives of sustainable economic growth and price stability.,neutral,neutral,neutral,,neutral
10850,2008/8/26,"Incoming data suggested further slowing elsewhere in emerging Asia, and second-quarter activity appeared to have remained sluggish in Mexico.",negative,neutral,neutral,,negative
10851,2009/1/6,Credit outstanding under the Federal Reserve's Term Auction Facility (TAF) increased to about $448 billion because of expanded auction sizes.,neutral,neutral,neutral,,neutral
10852,2009/1/6,The Federal Reserve will employ all available tools to promote the resumption of sustainable economic growth and to preserve price stability.,negative,neutral,neutral,,positive
10853,2009/2/18,Participants generally agreed that purchasing such securities could be a useful adjunct to other monetary policy tools in some circumstances.,neutral,neutral,neutral,,neutral
10854,2009/2/18,"Orders and shipments for many types of equipment declined in October and November, and imports of capital goods dropped back in those months.",negative,neutral,neutral,,negative
10855,2009/2/18,The Federal Reserve will employ all available tools to promote the resumption of sustainable economic growth and to preserve price stability.,negative,neutral,neutral,,positive
10856,2009/4/8,Both exports and imports retreated significantly in the fourth quarter of last year and appeared headed for comparable declines this quarter.,negative,neutral,neutral,,negative
10857,2009/5/20,"During the intermeeting period, foreign authorities took additional steps to address the weaknesses in their economies and financial systems.",negative,neutral,neutral,,neutral
10858,2009/7/15,The Committee voted unanimously to amend paragraph 3 of the Authorization for Domestic Open Market Operations with the text underlined below.,neutral,neutral,neutral,,neutral
10859,2009/7/15,The staff also provided the Committee with an analysis of the potential adverse effects of very high reserve balances on bank capital ratios.,neutral,neutral,neutral,,neutral
10860,2009/7/15,"CDS spreads for banking organizations declined considerably over the intermeeting period, although they remained well above historical norms.",neutral,neutral,neutral,,neutral
10861,2009/9/2,"As a result, corporate bond spreads narrowed further and dropped below the previous peak levels reached in 2002 following the 2001 recession.",positive,neutral,neutral,,positive
10862,2009/10/14,Participants discussed the extent to which the size of the Federal Reserve's balance sheet would affect inflation expectations going forward.,neutral,neutral,neutral,,neutral
10863,2009/10/14,Recent data on new orders and shipments pointed to an earlier bottoming out in equipment and investment spending than previously anticipated.,positive,neutral,neutral,,negative
10864,2009/10/14,"As previously announced, the Federal Reserve's purchases of $300 billion of Treasury securities will be completed by the end of October 2009.",neutral,neutral,neutral,,neutral
10865,2009/11/24,"Although consumer spending on motor vehicles declined in September after the expiration of government rebates, other household spending rose.",neutral,neutral,neutral,,positive
10866,2009/11/24,"In the much smaller multifamily sector, where tight credit conditions persisted and vacancies remained elevated, starts were about unchanged.",neutral,neutral,neutral,,neutral
10867,2009/11/24,"In the near term, most participants anticipated that substantial slack in both labor and product markets would likely keep inflation subdued.",negative,negative,positive,,positive
10868,2010/1/6,Real spending on equipment and software was estimated to have risen slightly in the third quarter after falling sharply for more than a year.,positive,neutral,neutral,,positive
10869,2010/1/6,and three-month maturities were about flat; spreads at the six-month maturity narrowed somewhat further but remained above pre-crisis levels.,neutral,neutral,neutral,,negative
10870,2010/2/17,"Imports of oil accounted for roughly one-third of the increase in total imports, though most other categories of imports also recorded gains.",positive,neutral,neutral,,neutral
10871,2010/4/6,"However, real spending on drilling and mining structures increased strongly in response to the earlier rebound in oil and natural gas prices.",positive,neutral,neutral,,positive
10872,2010/5/19,"Based on this outlook, members agreed that it would be appropriate to maintain the target range of 0 to ? percent for the federal funds rate.",neutral,neutral,neutral,,neutral
10873,2010/8/31,"The U.S. international trade deficit widened sharply in May, as a significant increase in exports was more than offset by a surge in imports.",positive,neutral,neutral,,negative
10874,2010/10/12,"Moreover, average weekly hours of all employees were little changed, on net, in recent months after rising during the first half of the year.",neutral,neutral,neutral,,neutral
10875,2011/1/4,"Household net worth rose further in the third quarter, as an increase in equity values more than offset the effect of a drop in house prices.",positive,neutral,neutral,,positive
10876,2011/1/4,"Residential mortgage rates rose considerably over the intermeeting period, though not by as much as rates on longer-term Treasury securities.",neutral,neutral,neutral,,positive
10877,2011/2/16,"Despite the steep run-up in agricultural commodity prices over the second half of last year, increases in retail food prices remained modest.",neutral,neutral,neutral,,negative
10878,2011/2/16,The ratios of yields on long-term general obligation bonds to those on comparable-maturity Treasury securities moved up to a very high level.,neutral,neutral,neutral,,neutral
10879,2011/2/16,"However, credit conditions remained tight for smaller, bank-dependent firms, although bank loan growth had clearly picked up in some sectors.",negative,neutral,neutral,,negative
10880,2011/4/5,"In addition, dealers reported an increase in leverage over the past six months by hedge funds that pursue a variety of investment strategies.",positive,neutral,neutral,,positive
10881,2011/4/5,Several participants noted that even large commodity price increases have had only limited effects on underlying inflation in recent decades.,neutral,neutral,positive,,neutral
