sentence,label,score,sentence_simple,focus_ornot,label_new,score_new
"Although some scattered signs of cooling of the housing sector had emerged, the pace of construction activity and sales remained brisk.",Negative,0.645583689,the pace of construction activity and sales remained brisk.,1,Positive,0.363113672
"Core consumer price inflation remained subdued, even though some of the increase in energy costs had apparently passed through to prices of final goods and services.",Negative,0.982155085,Core consumer price inflation remained subdued,1,Negative,0.999041975
"With employment rising but the average workweek of production or nonsupervisory workers falling slightly, aggregate hours slipped in November--albeit to a level above that of their third-quarter average.",Negative,0.999217749,"the average workweek of production or nonsupervisory workers falling slightly, aggregate hours slipped in November--albeit to a level above that of their third-quarter average.",1,Negative,0.997591496
"Starts of new single-family homes dropped back somewhat in October from September's very strong pace, but permit issuance remained elevated.",Negative,0.950385273,permit issuance remained elevated.,1,Positive,0.691221833
"Although business purchases of motor vehicles declined in October and November, growth in investment in nontransportation equipment appeared to have been well maintained in the fourth quarter.",Positive,0.985004306,growth in investment in nontransportation equipment appeared to have been well maintained in the fourth quarter.,1,Positive,0.999756753
"But even outside the motor vehicle sector, inventory investment was relatively restrained, and partial data for October suggested that real stockbuilding continued to be subdued.",Negative,0.999999046,"even outside the motor vehicle sector, inventory investment was relatively restrained, and partial data for October suggested that real stockbuilding continued to be subdued.",1,Negative,0.999998569
"Core consumer price inflation was moderate in recent months, although some signs of pass-through of higher energy costs were evident, especially in transportation services.",Negative,0.956928015,"Core consumer price inflation was moderate in recent months, especially in transportation services.",1,Neutral,0.741265118
"Longer-term inflation expectations also edged down, but stayed a touch above the narrow range observed in recent years.",Positive,0.970136583,stayed a touch above the narrow range observed in recent years.,1,Neutral,0.946408689
"Although recent increases in energy costs had pushed up producer prices in some sectors, overall producer price inflation remained subdued.",Negative,0.988978088,overall producer price inflation remained subdued.,1,Negative,0.921773076
"And although the cumulative rise in energy and other costs had the potential to add to inflation pressures, core inflation had been relatively low in recent months, and longer-term inflation expectations remained contained.",Neutral,0.771204591,"core inflation had been relatively low in recent months, and longer-term inflation expectations remained contained.",1,Neutral,0.898060381
"In these circumstances, the Committee believed that policy accommodation could be removed at a pace that was likely to be measured but noted that it would respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",Neutral,0.996329129,noted that it would respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.,1,Neutral,0.998114347
"Nominal Treasury yields changed little, on net, but measures of inflation compensation at longer horizons--which are calculated using yields on nominal and inflation-protected securities--declined somewhat.",Neutral,0.588442028,measures of inflation compensation at longer horizons--which are calculated using yields on nominal and inflation protected securities declined somewhat.,1,Neutral,0.956162214
"Hurricane relief payments apparently boosted M2 in October, but that aggregate decelerated in November, partly reflecting the continued rise in the opportunity cost of holding liquid deposits.",Positive,0.99940002,"that aggregate decelerated in November, partly reflecting the continued rise in the opportunity cost of holding liquid deposits.",1,Negative,0.837220609
"The staff forecast prepared for this meeting suggested that growth of economic activity would slow from this year's pace, but remain solid, with output staying near the economy's potential over the next two years.",Positive,0.999999881,"remain solid, with output staying near the economy's potential over the next two years.",1,Positive,1
